fecha,airtable_name,drive_id,transcript_doc_url,export_url,save_as_filename
2026-03-09,03.09.2026. Peter Walker - Carta,1VaJCgFGgd22AAcomlOTa_jCW-X4yhH_NtaN422vjThY,https://docs.google.com/document/d/1VaJCgFGgd22AAcomlOTa_jCW-X4yhH_NtaN422vjThY/edit?usp=sharing,https://docs.google.com/document/d/1VaJCgFGgd22AAcomlOTa_jCW-X4yhH_NtaN422vjThY/export?format=txt,2026-03-09-peter-walker-carta.txt
2026-03-09,03.09.2026. StartSe - Aline Murlik,1gXYge77ts7kA1QcsvsH5k0NL2wkUe-GRLv79e_fMPdA,https://docs.google.com/document/d/1gXYge77ts7kA1QcsvsH5k0NL2wkUe-GRLv79e_fMPdA/edit?usp=sharing,https://docs.google.com/document/d/1gXYge77ts7kA1QcsvsH5k0NL2wkUe-GRLv79e_fMPdA/export?format=txt,2026-03-09-startse-aline-murlik.txt
2026-03-06,03.06.2026. Iyinoluwa Aboyeji - Future Africa ,1wdExp4QAfjuljdx_0LECLBzIl36a9T4loE8Fj1mQZz8,https://docs.google.com/document/d/1wdExp4QAfjuljdx_0LECLBzIl36a9T4loE8Fj1mQZz8/edit?usp=sharing,https://docs.google.com/document/d/1wdExp4QAfjuljdx_0LECLBzIl36a9T4loE8Fj1mQZz8/export?format=txt,2026-03-06-iyinoluwa-aboyeji-future-africa.txt
2026-03-06, 03.06.2026. Patrick Menendez- FEMSA,1m2Opg9xGV0cxfGEHWrXvg7IvbFSp_VADg--NgoDXj-w,https://docs.google.com/document/d/1m2Opg9xGV0cxfGEHWrXvg7IvbFSp_VADg--NgoDXj-w/edit?usp=sharing,https://docs.google.com/document/d/1m2Opg9xGV0cxfGEHWrXvg7IvbFSp_VADg--NgoDXj-w/export?format=txt,2026-03-06-patrick-menendez-femsa.txt
2026-03-05,03.05.2026. Maya Capital - Bruno Kuntz ,1YMG-KGeCAV2uk9r-rb_7Hd8Nhj24JoSuuyEMlix85XQ,https://docs.google.com/document/d/1YMG-KGeCAV2uk9r-rb_7Hd8Nhj24JoSuuyEMlix85XQ/edit?usp=sharing,https://docs.google.com/document/d/1YMG-KGeCAV2uk9r-rb_7Hd8Nhj24JoSuuyEMlix85XQ/export?format=txt,2026-03-05-maya-capital-bruno-kuntz.txt
2026-03-05,03.05.2026. Dave McClure - Practical VC,1JWShVFUk0etRGiInLNn5SO-pn6unpqR79zVss50IkFI,https://docs.google.com/document/d/1JWShVFUk0etRGiInLNn5SO-pn6unpqR79zVss50IkFI/edit?usp=sharing,https://docs.google.com/document/d/1JWShVFUk0etRGiInLNn5SO-pn6unpqR79zVss50IkFI/export?format=txt,2026-03-05-dave-mcclure-practical-vc.txt
2026-03-05,03.05.2026. Francisco Meneses - CORFO,1g2LJCipWmvINQgC_r1ds3xO9ieYHrZyfymXfEGEEB9o,https://docs.google.com/document/d/1g2LJCipWmvINQgC_r1ds3xO9ieYHrZyfymXfEGEEB9o/edit?usp=sharing,https://docs.google.com/document/d/1g2LJCipWmvINQgC_r1ds3xO9ieYHrZyfymXfEGEEB9o/export?format=txt,2026-03-05-francisco-meneses-corfo.txt
2026-03-03,03.03.2026. Magma Partners,10dZRRipwsq2xOo0Zk5MhK69FVzGNgcIXD8OFXshlMeQ,https://docs.google.com/document/d/10dZRRipwsq2xOo0Zk5MhK69FVzGNgcIXD8OFXshlMeQ/edit?tab=t.0,https://docs.google.com/document/d/10dZRRipwsq2xOo0Zk5MhK69FVzGNgcIXD8OFXshlMeQ/export?format=txt,2026-03-03-magma-partners.txt
2026-02-27,02.27.2026. Nelson Irías Núñez - Costa Rica Tech Week,1DYZpfKX8nOCAXTPmqVT3Y3XL-cTllhNfX4PzFygGz50,https://docs.google.com/document/d/1DYZpfKX8nOCAXTPmqVT3Y3XL-cTllhNfX4PzFygGz50/edit?usp=sharing,https://docs.google.com/document/d/1DYZpfKX8nOCAXTPmqVT3Y3XL-cTllhNfX4PzFygGz50/export?format=txt,2026-02-27-nelson-ir-as-n-ez-costa-rica-tech-week.txt
2026-02-27,02.27.2026. Maria Vélez Crack the Code,1uVb_yljNNlVLvE7Q8t3yNqjFMrjzG2KEu57yOCIyf9Q,https://docs.google.com/document/d/1uVb_yljNNlVLvE7Q8t3yNqjFMrjzG2KEu57yOCIyf9Q/edit?usp=sharing,https://docs.google.com/document/d/1uVb_yljNNlVLvE7Q8t3yNqjFMrjzG2KEu57yOCIyf9Q/export?format=txt,2026-02-27-maria-v-lez-crack-the-code.txt
2026-02-27,02.27.2026. Samuel Hernandez Colmex,1bHThdMNYeEtVp1hRi7Pr3rCskoRfGwAsdiAy-ukG6BE,https://docs.google.com/document/d/1bHThdMNYeEtVp1hRi7Pr3rCskoRfGwAsdiAy-ukG6BE/edit?usp=sharing,https://docs.google.com/document/d/1bHThdMNYeEtVp1hRi7Pr3rCskoRfGwAsdiAy-ukG6BE/export?format=txt,2026-02-27-samuel-hernandez-colmex.txt
2026-02-23,02.23.2026. Climatech. Technology with Purpose,1g9HLs91fKJKOra8V8O2pfvrpERrbpcs6LovqN22wtRc,https://docs.google.com/document/d/1g9HLs91fKJKOra8V8O2pfvrpERrbpcs6LovqN22wtRc/edit?usp=sharing,https://docs.google.com/document/d/1g9HLs91fKJKOra8V8O2pfvrpERrbpcs6LovqN22wtRc/export?format=txt,2026-02-23-climatech-technology-with-purpose.txt
2026-02-23,02.23.26. Vanessa Gibson CINDE,162ck7SOUmErfZvazIx67EN0Fp-BA6lzWO7FDwlJjin0,https://docs.google.com/document/d/162ck7SOUmErfZvazIx67EN0Fp-BA6lzWO7FDwlJjin0/edit?usp=sharing,https://docs.google.com/document/d/162ck7SOUmErfZvazIx67EN0Fp-BA6lzWO7FDwlJjin0/export?format=txt,2026-02-23-vanessa-gibson-cinde.txt
2026-02-19,02.19.2026. José Kont - Cuantico,1IsP7mALO42zvYO3ZwzmumCthhlZPFvO33vtQ8KyHbXY,https://docs.google.com/document/d/1IsP7mALO42zvYO3ZwzmumCthhlZPFvO33vtQ8KyHbXY/edit?usp=sharinghttps://notes.granola.ai/t/11d04ed1-e599-490f-bc44-b8d0e2f68471-008umkv4,https://docs.google.com/document/d/1IsP7mALO42zvYO3ZwzmumCthhlZPFvO33vtQ8KyHbXY/export?format=txt,2026-02-19-jos-kont-cuantico.txt
2026-02-13,02.13.2026. Santiago Zavala - 500,1VoV2YGimsjhftl6b-aMlkwXPF1_nzFTB0gJSKcYSJBo,https://docs.google.com/document/d/1VoV2YGimsjhftl6b-aMlkwXPF1_nzFTB0gJSKcYSJBo/edit?usp=sharing,https://docs.google.com/document/d/1VoV2YGimsjhftl6b-aMlkwXPF1_nzFTB0gJSKcYSJBo/export?format=txt,2026-02-13-santiago-zavala-500.txt
2026-02-13,02.13.2026. Ady Beitler - Nilus,1Aa4UKe40aILZkxMM2hlbJMcI6u3xysFwJNhGQ-M7zxE,https://docs.google.com/document/d/1Aa4UKe40aILZkxMM2hlbJMcI6u3xysFwJNhGQ-M7zxE/edit?usp=sharing,https://docs.google.com/document/d/1Aa4UKe40aILZkxMM2hlbJMcI6u3xysFwJNhGQ-M7zxE/export?format=txt,2026-02-13-ady-beitler-nilus.txt
2026-02-12,02.12.2026. Louis Prouvost - Level Up,1gaGdsyWP8O8nNQifSxi3xSGWCm8OZpKE4dbVgWC5LVI,https://docs.google.com/document/d/1gaGdsyWP8O8nNQifSxi3xSGWCm8OZpKE4dbVgWC5LVI/edit?usp=sharing,https://docs.google.com/document/d/1gaGdsyWP8O8nNQifSxi3xSGWCm8OZpKE4dbVgWC5LVI/export?format=txt,2026-02-12-louis-prouvost-level-up.txt
2026-02-11,02.11.2026. Rockefeller,1Q88B8RtEAn_H3YYrHh9iAlARc237UpAqgFh9m1gVsgY,https://docs.google.com/document/d/1Q88B8RtEAn_H3YYrHh9iAlARc237UpAqgFh9m1gVsgY/edit?usp=sharing,https://docs.google.com/document/d/1Q88B8RtEAn_H3YYrHh9iAlARc237UpAqgFh9m1gVsgY/export?format=txt,2026-02-11-rockefeller.txt
2026-02-05,02.05.2026. José Kont - Cuantico,1dzmIF2RU6UQ15brM8HyeZTRoHQ03Q1w2RSS0XMPyTGE,https://docs.google.com/document/d/1dzmIF2RU6UQ15brM8HyeZTRoHQ03Q1w2RSS0XMPyTGE/edit?usp=sharing,https://docs.google.com/document/d/1dzmIF2RU6UQ15brM8HyeZTRoHQ03Q1w2RSS0XMPyTGE/export?format=txt,2026-02-05-jos-kont-cuantico.txt
2026-02-03,02.03.2026. Jorge Vargas Venture do,1XNmEv74G6nbb9OMsCreGeVKcDRPHOPuaDurkVZ0bBtA,https://docs.google.com/document/d/1XNmEv74G6nbb9OMsCreGeVKcDRPHOPuaDurkVZ0bBtA/edit?usp=sharing,https://docs.google.com/document/d/1XNmEv74G6nbb9OMsCreGeVKcDRPHOPuaDurkVZ0bBtA/export?format=txt,2026-02-03-jorge-vargas-venture-do.txt
2026-01-14,01.14.2026. Rockefeller Foundation LATAM,1WxCMNvTE6vNyLpGuBRY80BXReO6MbrOj4o2sq3nin08,https://docs.google.com/document/d/1WxCMNvTE6vNyLpGuBRY80BXReO6MbrOj4o2sq3nin08/edit?usp=sharing,https://docs.google.com/document/d/1WxCMNvTE6vNyLpGuBRY80BXReO6MbrOj4o2sq3nin08/export?format=txt,2026-01-14-rockefeller-foundation-latam.txt
2026-01-14,01.14.2026.  Lyana Latorre - Rockfound,1Sjl6vr6APIXFu6XrZGNJWBlj-3q9b4ALLnAwNpmOGjQ,https://docs.google.com/document/d/1Sjl6vr6APIXFu6XrZGNJWBlj-3q9b4ALLnAwNpmOGjQ/edit?tab=t.f7y0ewvy58u6,https://docs.google.com/document/d/1Sjl6vr6APIXFu6XrZGNJWBlj-3q9b4ALLnAwNpmOGjQ/export?format=txt,2026-01-14-lyana-latorre-rockfound.txt
2025-12-03,12.03.2025. Barnaby Dorfman,1t65db8T8gC4EU4ZHmP2WX6t8INibljVaJwmKCz0p2eU,https://docs.google.com/document/d/1t65db8T8gC4EU4ZHmP2WX6t8INibljVaJwmKCz0p2eU/edit?usp=sharing,https://docs.google.com/document/d/1t65db8T8gC4EU4ZHmP2WX6t8INibljVaJwmKCz0p2eU/export?format=txt,2025-12-03-barnaby-dorfman.txt
